Продукт,Калорийность,Углеводы,Белки,Жиры
"Детское питание, Каша, овсяная, с медом, сухая",391 кКал,"69,3 г","13,5 г",7 г
"Детское питание, Каша, овсяная, сухая",394 кКал,"66,18 г","10,99 г","6,36 г"
"Детское питание, Каша, овсянка, яблочное пюре с бананами, пюре",75 кКал,"14,72 г","0,89 г","0,89 г"
"Детское питание, Каша, рис, яблочное пюре с бананами, пюре",80 кКал,"16,1 г","1,2 г","0,4 г"
"Детское питание, Каша, рисовая, приготовленная на цельном молоке",85 кКал,"10,31 г","3,45 г","3,38 г"
"Детское питание, Каша, рисовая, с бананом, приготовленная на цельном молоке",86 кКал,"10,39 г","3,57 г","3,32 г"
"Детское питание, Каша, рисовая, с бананом, сухая",404 кКал,"78,9 г","8,7 г","4,2 г"
"Детское питание, Каша, рисовая, с медом, приготовленная на цельном молоке",115 кКал,"17,1 г","3,9 г","3,3 г"
"Детское питание, Каша, рисовая, сухая",390 кКал,"81,84 г","6,65 г","2,19 г"
"Детское питание, Каша, с высоким содерж. белка, приготовленная на цельном молоке",111 кКал,"11,6 г","8,7 г","3,8 г"
"Детское питание, Каша, с высоким содерж. белка, с яблоком и апельсином, приготовленная на цельном молоке",112 кКал,"13,4 г","6,9 г","3,9 г"
"Детское питание, Каша, с высоким содерж. белка, с яблоком и апельсином, сухая",374 кКал,"50,5 г","25,4 г","6,5 г"
"Детское питание, Каша, с яичными желтками, пюре",51 кКал,"6,1 г","1,9 г","1,8 г"
"Детское питание, Каша, с яйцами, пюре",58 кКал,8 г,"2,2 г","1,5 г"
"Детское питание, Каша, смесь, приготовленная на цельном молоке",96 кКал,"11,5 г","4,14 г","3,38 г"
"Детское питание, Каша, смесь, с бананом, приготовленная на цельном молоке",86 кКал,"9,6 г","3,82 г","3,46 г"
"Детское питание, Каша, смесь, с бананом, сухая",391 кКал,"69,3 г","10,7 г","4,6 г"
"Детское питание, Каша, смесь, с медом, приготовленная на цельном молоке",115 кКал,"15,9 г",5 г,"3,6 г"
"Детское питание, Каша, смесь, сухая",399 кКал,"71,51 г","6,66 г","6,66 г"
"Детское питание, Каша, цельная пшеница, с яблоками, сухая",402 кКал,"76,5 г","6,6 г","4,8 г"
"Детское питание, Каша, ячменная, приготовленная на цельном молоке",84 кКал,"9,34 г","3,73 г","3,26 г"
"Детское питание, Каша, ячменная, сухая",376 кКал,"62,8 г","13,2 г","6,6 г"
"Детское питание, Крендельки",397 кКал,"79,9 г","10,8 г",2 г
"Детское питание, Кререры, овощные",477 кКал,"62,85 г","8,4 г","19,6 г"
"Детское питание, Кукуруза и сладкий картофель (батат), пюре",68 кКал,"13,43 г","1,26 г","0,28 г"
"Детское питание, Морковка с говядиной, пюре",59 кКал,"3,1 г","3,4 г","2,5 г"
"Детское питание, Морковка, для детей, начинающих ходить",21 кКал,"2,93 г","0,6 г","0,3 г"
"Детское питание, Мясо, ветчина, пюре",97 кКал,"3,7 г","11,3 г","3,8 г"
"Детское питание, Мясо, говядина с овощами, для детей, начинающих ходить",69 кКал,"6,92 г","3,5 г","2,1 г"
"Детское питание, Мясо, говядина, пюре",81 кКал,"2,43 г","12,03 г","2,52 г"
"Детское питание, Мясо, индейки, пюре",111 кКал,"1,4 г","11,5 г","6,2 г"
"Детское питание, Мясо, свинины, пюре",124 кКал,0 г,14 г,"7,1 г"
"Детское питание, Мясо, телятина, пюре",81 кКал,"1,51 г","13,12 г","2,45 г"
"Детское питание, Мясо, цыпленок, пюре",130 кКал,"0,1 г","13,7 г","7,9 г"
"Детское питание, Мясо, ягненка, пюре",94 кКал,"0,85 г","14,07 г","3,41 г"
"Детское питание, Обед, говядина с овощами",96 кКал,"4,56 г","2,03 г","6,93 г"
"Детское питание, Обед, говядина с рисом, для детей, начинающих ходить",82 кКал,"8,8 г",5 г,"2,9 г"
"Детское питание, Обед, говядина, лазанья, для детей, начинающих ходить",77 кКал,10 г,"4,2 г","2,1 г"
"Детское питание, Обед, индейка с овощами, пюре",48 кКал,"6,12 г","2,32 г","0,9 г"
"Детское питание, Обед, индейка с рисом и овощами, для детей, начинающих ходить",60 кКал,"6,7 г","3,8 г","1,6 г"
"Детское питание, Обед, индейка с рисом, пюре",52 кКал,"7,04 г","2,27 г","1,24 г"
"Детское питание, Обед, картофель, с сыром и ветчиной, для детей, начинающих ходить",78 кКал,"11,97 г","3,5 г",2 г
"Детское питание, Обед, куриный суп, пюре",50 кКал,"6,1 г","1,6 г","1,7 г"
"Детское питание, Обед, курица с рисом",51 кКал,"8,1 г","1,6 г","0,9 г"
"Детское питание, Обед, лапша с говядиной, для детей, раннего возраста",57 кКал,"6,2 г","2,5 г","1,9 г"
"Детское питание, Обед, лапша с говядиной, пюре",63 кКал,"6,88 г","2,44 г","2,26 г"
"Детское питание, Обед, лапша с курицей, пюре",74 кКал,"6,11 г","3,53 г","3,22 г"
"Детское питание, Обед, макароны с сыром, для детей, начинающих ходить",82 кКал,"10,7 г","3,5 г","2,6 г"
"Детское питание, Обед, макароны с сыром, пюре",67 кКал,"8,25 г","3,14 г","2,11 г"
"Детское питание, Обед, макароны, говядина в томатном соусе, для детей, начинающих ходить",82 кКал,"10,43 г","4,34 г","1,9 г"
"Детское питание, Обед, овощи с беконом, пюре",69 кКал,"8,81 г","1,92 г","2,95 г"
"Детское питание, Обед, овощи с ветчиной, пюре",59 кКал,"7,8 г","2,19 г","2,14 г"
"Детское питание, Обед, овощи с говядиной, пюре",77 кКал,"7,54 г","2,21 г","3,6 г"
"Детское питание, Обед, овощи с клецками и говядиной, пюре",48 кКал,"7,7 г",2 г,"0,9 г"
"Детское питание, Обед, овощи с лапшой и индейкой, пюре",44 кКал,"5,7 г","1,2 г","1,2 г"
"Детское питание, Обед, овощи с мясом ягненка, пюре",52 кКал,"6,9 г",2 г,2 г
"Детское питание, Обед, овощи, лапша с курицей, пюре",63 кКал,"6,8 г",2 г,"2,5 г"
"Детское питание, Обед, паста (макаронные изделия), с овощами",60 кКал,"6,9 г","1,7 г","2,1 г"
"Детское питание, Обед, рагу из говядины, для детей, начинающих ходить",51 кКал,"5,5 г","5,1 г","1,2 г"
"Детское питание, Обед, рагу из цыпленка, для детей, начинающих ходить",78 кКал,"5,8 г","5,2 г","3,7 г"
"Детское питание, Обед, сладкий картофель (батат) с курицей, пюре",74 кКал,"9,74 г","2,51 г","2,17 г"
"Детское питание, Обед, смесь овощей, пюре",41 кКал,"9,5 г","1,2 г","0,1 г"
"Детское питание, Обед, спагетти, с мясом и помидорами (томатами), для детей, начинающих ходить",75 кКал,"10,8 г","5,3 г",1 г
"Детское питание, Обед, цыпленок с овощами, пюре",59 кКал,"6,32 г","2,47 г","1,73 г"
"Детское питание, Обогащенная злаковая плитка, с фруктовым наполнителем",344 кКал,"66,93 г","5,43 г","5,3 г"
"Детское питание, Овощи и коричневый рис, пюре",69 кКал,11 г,"1,9 г","1,5 г"
"Детское питание, Овощи, горошек, пюре",50 кКал,"6,36 г","3,27 г","0,43 г"
"Детское питание, Овощи, зеленая фасоль и картофель",62 кКал,"7,6 г","2,2 г","1,9 г"
"Детское питание, Овощи, зеленая фасоль, пюре",27 кКал,"4,09 г","1,2 г","0,17 г"
"Детское питание, Овощи, кукуруза, протертая, пюре",57 кКал,12 г,"1,4 г","0,4 г"
"Детское питание, Овощи, морковь, пюре",26 кКал,"4,3 г","0,8 г","0,1 г"
"Детское питание, Овощи, мускатная тыква и кукуруза",50 кКал,"7,26 г",2 г,"0,6 г"
"Детское питание, Овощи, овощная смесь, пюре",36 кКал,"6,75 г",1 г,"0,5 г"
"Детское питание, Овощи, с грядки, пюре",32 кКал,"5,3 г","2,3 г","0,2 г"
"Детское питание, Овощи, свекла, пюре",34 кКал,"5,8 г","1,3 г","0,1 г"
"Детское питание, Овощи, сквош (тыква или кабачок или патиссон), пюре",28 кКал,"4,83 г","0,81 г","0,2 г"
"Детское питание, Овощи, сладкий картофель (батат), пюре",57 кКал,"11,7 г","1,1 г","0,1 г"
"Детское питание, Овощи, шпинат, протертый, пюре",37 кКал,"3,9 г","2,5 г","1,3 г"
"Детское питание, Овсянка с фруктами, сухая, быстрого приготовления, для детей, начинающих ходить",402 кКал,"66,3 г","10,5 г","7,05 г"
"Детское питание, Персики, кубики, для детей, начинающих ходить",51 кКал,11 г,"0,5 г","0,2 г"
"Детское питание, Печеные продукты, хлебные палочки",421 кКал,"74,38 г","6,4 г","9,9 г"
"Детское питание, Печенье",433 кКал,"66,9 г","11,8 г","13,2 г"
"Детское питание, Печенье для прорезывания зубов",407 кКал,"66,58 г","7,97 г","9,27 г"
"Детское питание, Печенье, детское, фруктовое",435 кКал,"70,3 г","6,8 г","12,6 г"
"Детское питание, Печенье, с марантой",424 кКал,"75,2 г","7,6 г",10 г
"Детское питание, Равиоли, с сырной начинкой, с томатным соусом",99 кКал,"16,2 г","3,6 г","2,2 г"
"Детское питание, Рис с яблоками, сухой",396 кКал,"83,89 г","6,7 г","2,4 г"
"Детское питание, Сливы, бананы и рис, пюре",57 кКал,"11,4 г","1,1 г","0,3 г"
"Детское питание, Смесь фруктов йогурт, пюре",75 кКал,"15,83 г","0,8 г","0,8 г"
"Детское питание, Смесь фруктовых соков с низкожирным йогуртом",74 кКал,"14,28 г","2,4 г","0,8 г"
"Детское питание, Сок банана, с маложирный йогуртом",86 кКал,"17,14 г","2,5 г","0,8 г"
"Детское питание, Сок, апельсин и виноград",46 кКал,"11,24 г","0,1 г","0,2 г"
"Детское питание, Сок, апельсиновый",45 кКал,"10,1 г","0,6 г","0,3 г"
"Детское питание, Сок, грушевый",43 кКал,"11,76 г",0 г,0 г
"Детское питание, Сок, из апельсинов и абрикосов",46 кКал,"10,8 г","0,8 г","0,1 г"
"Детское питание, Сок, из апельсинов и ананасов",48 кКал,"11,6 г","0,5 г","0,1 г"
"Детское питание, Сок, из апельсинов и бананов",50 кКал,"11,9 г","0,7 г","0,1 г"
"Детское питание, Сок, из морковно-апельсиновый",43 кКал,"9,5 г","0,5 г","0,1 г"
"Детское питание, Сок, из чернослив и апельсина",70 кКал,"16,8 г","0,6 г","0,3 г"
"Детское питание, Сок, фруктовая смесь",47 кКал,"11,6 г","0,1 г","0,1 г"
"Детское питание, Сок, фруктовый пунш, с кальцием",52 кКал,"12,3 г","0,2 г","0,1 г"
"Детское питание, Сок, яблоко",47 кКал,"11,6 г",0 г,"0,1 г"
"Детское питание, Сок, яблоко и персик",43 кКал,"10,4 г","0,2 г","0,1 г"
"Детское питание, Сок, яблоко и слива",49 кКал,"12,3 г","0,1 г",0 г
"Детское питание, Сок, яблоко и чернослив",72 кКал,18 г,"0,2 г","0,1 г"
"Детское питание, Сок, яблочно-апельсиново-банановый",47 кКал,"11,4 г","0,4 г","0,1 г"
"Детское питание, Сок, яблочно-апельсиновый",43 кКал,"10,1 г","0,4 г","0,2 г"
"Детское питание, Сок, яблочно-клюквенный",46 кКал,"11,49 г",0 г,"0,02 г"
"Детское питание, Сок, яблочно, батат",47 кКал,"10,9 г","0,3 г","0,1 г"
"Детское питание, Сок, яблочный с вишней",41 кКал,"9,9 г","0,1 г","0,2 г"
"Детское питание, Сок, яблочный, с кальцием",46 кКал,"10,7 г","0,06 г","0,1 г"
"Детское питание, Сухарики",426 кКал,"71,7 г","10,1 г","9,7 г"
"Детское питание, Фасоль зеленая, кусочки, для детей, начинающих ходить",29 кКал,"4,4 г","1,2 г","0,2 г"
"Детское питание, Фруктовый десерт, манго с тапиокой",70 кКал,"17,9 г","0,3 г","0,2 г"
"Детское питание, Фруктовый десерт, суприм",73 кКал,"15,18 г","0,5 г","0,2 г"
"Детское питание, Фрукты, абрикос с тапиокой, пюре",60 кКал,"14,8 г","0,3 г",0 г
"Детское питание, Фрукты, бананы с ананасами и тапиокой, пюре",65 кКал,"16,2 г","0,2 г",0 г
"Детское питание, Фрукты, бананы с тапиокой, пюре",56 кКал,"13,7 г","0,4 г","0,1 г"
"Детское питание, Фрукты, бананы с яблоками и грушами, пюре",83 кКал,"17,91 г","0,9 г","0,22 г"
"Детское питание, Фрукты, груши с ананасом, пюре",41 кКал,"8,3 г","0,3 г","0,1 г"
"Детское питание, Фрукты, груши, для малышариков",44 кКал,"8,8 г","0,3 г","0,1 г"
"Детское питание, Фрукты, груши, пюре",42 кКал,8 г,"0,3 г","0,2 г"
"Детское питание, Фрукты, гуава с папайей и тапиокой, пюре",63 кКал,17 г,"0,2 г","0,1 г"
"Детское питание, Фрукты, папайя и яблочное пюре с тапиокой, пюре",70 кКал,"17,5 г","0,2 г","0,1 г"
"Детское питание, Фрукты, персики, пюре",65 кКал,"13,18 г","0,94 г","0,33 г"
"Детское питание, Фрукты, сливы с тапиокой, без аскорбиновой кислоты, пюре",71 кКал,"18,5 г","0,1 г",0 г
"Детское питание, Фрукты, тутти-фрутти, для малышариков",69 кКал,"15,6 г","0,4 г","0,4 г"
"Детское питание, Фрукты, тутти-фрутти, пюре",66 кКал,"14,88 г","0,4 г","0,3 г"
"Детское питание, Фрукты, чернослив с тапиокой, без аскорбиновой кислоты, пюре",69 кКал,"15,8 г","0,6 г","0,1 г"
"Детское питание, Фрукты, яблоко и малина, пюре",58 кКал,"13,5 г","0,2 г","0,2 г"
"Детское питание, Фрукты, яблоко и черникой, пюре",61 кКал,"14,5 г","0,2 г","0,2 г"
"Детское питание, Фрукты, яблочное пюре и абрикосы, пюре",44 кКал,"9,84 г","0,2 г","0,2 г"
"Детское питание, Фрукты, яблочное пюре и ананас, пюре",37 кКал,"8,6 г","0,1 г","0,1 г"
"Детское питание, Фрукты, яблочное пюре и вишня, пюре",51 кКал,13 г,0 г,0 г
"Детское питание, Чернослив, без доб. витамина С, пюре",100 кКал,"20,82 г",1 г,"0,2 г"
"Детское питание, Яблоки с ветчиной, пюре",62 кКал,"9,1 г","2,6 г","0,9 г"
"Детское питание, Яблоки с курицей, пюре",65 кКал,"9,08 г","2,16 г","1,38 г"
"Детское питание, Яблоки, кубики, для детей, начинающих ходить",50 кКал,"9,66 г","0,19 г","0,36 г"
"Детское питание, Яблочно-банановый сок",51 кКал,"12,1 г","0,2 г","0,1 г"
"Детское питание, Яблочный йогурт, десерт, пюре",93 кКал,19 г,"0,8 г","1,6 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло",64 кКал,"7,1 г","1,38 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, AR LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",71 кКал,"8,33 г","1,64 г","3,3 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, AR LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",504 кКал,"57,4 г","12,4 г",25 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, готовый к употреблению, с  ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло",73 кКал,"7,73 г",2 г,"3,8 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",505 кКал,"53,8 г","13,9 г",26 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LACTOFREE, LIPIL, с железом, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и D",132 кКал,"14,42 г","2,68 г","7,11 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LACTOFREE, готовый к употреблению",63 кКал,"7,18 г","1,38 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",68 кКал,"7,86 г","1,31 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с железом, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",131 кКал,"14,34 г","2,76 г","6,96 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с железом, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",511 кКал,"56,2 г","10,8 г",27 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозаге",64 кКал,"7,18 г","1,38 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаен",131 кКал,"14,24 г","2,76 г","7,16 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло",511 кКал,"56,2 г","10,8 г",27 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагекса",68 кКал,"7,21 г","1,83 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, с железом, порошок, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозаг",514 кКал,"53,6 г","14,1 г",27 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, LIPIL, с железом, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и ",126 кКал,"13,12 г","3,53 г","6,73 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, готовый к употреблению",66 кКал,"6,81 г","1,83 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, жидкий концентрат, невосстановленный",127 кКал,"13,12 г","3,53 г","6,73 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, порошок, невосстановленный",502 кКал,55 г,"14,2 г",25 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE LIPIL, с железом, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая ",512 кКал,"54,6 г","12,7 г",27 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE, LIPIL, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагек",131 кКал,"13,58 г","3,19 г","7,11 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE, с железом, порошок, невосстановленный",510 кКал,"54,3 г","12,5 г",27 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, с железом, готовый к употреблению",63 кКал,"6,45 г","1,38 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, с железом, порошок",520 кКал,"56,2 г","10,8 г",27 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, с низким содерж. железа, готовый к употреблению",63 кКал,"7,18 г","1,38 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, с низким содерж. железа, жидкий концентрат, невосстановленный",511 кКал,"56,2 г","10,8 г",27 г
"Заменитель грудного молока, MEAD JOHNSON, LACTOFREE LIPIL, с железом, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",521 кКал,"56,3 г","10,9 г",28 г
"Заменитель грудного молока, MEAD JOHNSON, LACTOFREE, с железом, порошок, невосстановленный",521 кКал,57 г,"10,85 г",28 г
"Заменитель грудного молока, MEAD JOHNSON, NEXT STEP PROSOBEE, порошок, невосстановленный",480 кКал,"57,1 г","15,6 г",21 г
"Заменитель грудного молока, MEAD JOHNSON, NEXT STEP,  PROSOBEE LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",480 кКал,"57,1 г","15,6 г",21 г
"Заменитель грудного молока, MEAD JOHNSON, NEXT STEP, PROSOBEE, LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кис",67 кКал,"8,09 г","2,14 г","2,91 г"
"Заменитель грудного молока, MEAD JOHNSON, PREGESTIMIL, с железом, невосстановленный",517 кКал,"52,2 г",14 г,28 г
"Заменитель грудного молока, MEAD JOHNSON, PREGESTIMIL, с железом, приготовленный из порошка",67 кКал,"6,54 г","1,86 г","3,7 г"
"Заменитель грудного молока, MEAD JOHNSON, PROSOBEE LIPIL, с железом, готовый к употреблению,  с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кис",64 кКал,"6,47 г","1,64 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, PROSOBEE, с железом, готовый к употреблению",63 кКал,"6,11 г","1,64 г","3,5 г"
"Заменитель грудного молока, MEAD JOHNSON, PROSOBEE, с железом, жидкий концентрат, невосстановленный",131 кКал,"13,58 г","3,19 г","7,13 г"
"Заменитель грудного молока, MEAD JOHNSON,NEXT STEP PROSOBEE, приготовленный из порошка",67 кКал,"8,08 г","2,14 г","2,91 г"
"Заменитель грудного молока, NESTLE (Нестле), GOOD START 2 ESSENTIALS, с железом, готовый к употреблению",65 кКал,"8,54 г","1,7 г","2,7 г"
"Заменитель грудного молока, NESTLE (Нестле), GOOD START 2 ESSENTIALS, с железом, жидкий концентрат, невосстановленный",125 кКал,"16,5 г","3,25 г","5,13 г"
"Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, готовый к употреблению",66 кКал,"7,39 г","1,45 г","3,37 г"
"Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, жидкий концентрат, невосстановленный",127 кКал,"14,2 г","2,79 г","6,5 г"
"Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, порошок",509 кКал,"57,32 г","11,3 г","26,1 г"
"Заменитель грудного молока, NESTLE, GOOD START 2 ESSENTIALS, с железом, порошок",471 кКал,"62,23 г","12,2 г","19,3 г"
"Заменитель грудного молока, NESTLE, GOOD START ESSENTIALS  соя, с железом, порошок",502 кКал,"55,7 г","12,5 г","25,5 г"
"Заменитель грудного молока, NESTLE, GOOD START ESSENTIALS, соя, с железом, жидкий концентрат, невосстановленный",128 кКал,"14,1 г","3,2 г","6,5 г"
"Заменитель грудного молока, NESTLE,GOOD START ESSENTIALS SOY, с железом, готовый к употреблению",65 кКал,"7,17 г","1,63 г","3,3 г"
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, готовый к употреблению (ранее WYETH-AYERST)",63 кКал,"6,4 г","1,4 г","3,5 г"
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, жидкий концентрат, невосстановленный (ранее WYETH-AYERST)",130 кКал,"13,9 г","2,9 г",7 г
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, порошок, (ранее WYETH-AYERST)",524 кКал,56 г,12 г,28 г
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, готовый к употреблению, (ранее WYETH-AYERST)",63 кКал,"6,09 г","1,8 г","3,5 г"
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, жидкий концентрат, (ранее WYETH-AYERST)",126 кКал,"12,18 г","3,6 г",7 г
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, порошок, (ранее WYETH-AYERST)",508 кКал,"52,2 г","13,6 г","27,2 г"
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, готовый к употреблению (ранее WYETH-AYERST)",63 кКал,"6,39 г","1,4 г","3,5 г"
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, жидкий концентрат, невосстановленный (ранее WYETH-AYERST)",130 кКал,"13,9 г","2,9 г",7 г
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, порошок, (ранее WYETH-AYERST)",524 кКал,56 г,12 г,28 г
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, готовый к употреблению, (ранее WYETH-AYERST)",63 кКал,"6,09 г","1,8 г","3,5 г"
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, жидкий концентрат, невосстановленный (ранее WYETH-AYERST)",126 кКал,"12,18 г","3,6 г",7 г
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, порошок, (ранее WYETH-AYERST)",508 кКал,"52,2 г","13,6 г","27,2 г"
