Продукт,Калорийность,Углеводы,Белки,Жиры
Суп из спаржи,78 кКал,"6,6 г","2,6 г","4,8 г"
Суп из утки,283 кКал,"8,6 г","10,9 г",23 г
Суп из фасоли с орехами,67 кКал,"3,8 г","2,3 г","4,8 г"
Суп из цветной капусты,"36,8 кКал","1,1 г",1 г,"3,2 г"
Суп из черники с клецками,"105,4 кКал","17,6 г","4,6 г","2,3 г"
Суп из черники с макаронами,"34,2 кКал","6,6 г","0,5 г","0,8 г"
Суп из чечевицы,"67,8 кКал","5,2 г","2,5 г","4,2 г"
Суп картофельный,"50,6 кКал","9,4 г","1,3 г","1,1 г"
Суп картофельный по 1-142,45 кКал,"7,8 г","1,1 г","1,2 г"
Суп картофельный с бобовыми,"73,3 кКал","10,8 г","2,7 г","2,4 г"
Суп картофельный с грибами,"42,2 кКал","6,5 г","1,7 г","1,2 г"
Суп картофельный с кальмарами,"62,4 кКал","6,5 г",4 г,"2,4 г"
Суп картофельный с крупой,"53,6 кКал",10 г,"1,3 г","1,2 г"
Суп картофельный с макаронными изделиями,"47,7 кКал","8,8 г","1,3 г",1 г
Суп картофельный с мясными фрикадельками,"57,6 кКал","6,5 г","3,3 г","2,2 г"
Суп картофельный с перловой крупой по 1-146,37 кКал,"6,5 г",1 г,"1,1 г"
Суп картофельный с рыбными фрикадельками,"48,9 кКал","6,6 г","2,5 г","1,6 г"
Суп картофельный со сладким перцем,"55,9 кКал","4,9 г","0,9 г","3,7 г"
Суп лапша грибная,"41,3 кКал","4,1 г","1,6 г","2,1 г"
Суп молочный рисовый,"99,2 кКал","11,1 г","3,1 г",5 г
"Суп молочный с белокочанной капустой, по 1-180",54 кКал,"6,8 г",2 г,2 г
Суп молочный с грибами,"67,2 кКал","7,3 г","2,5 г","3,3 г"
"Суп молочный с картофельными ""стружками""","51,3 кКал","3,5 г","1,4 г","3,6 г"
Суп молочный с клецками,"110,9 кКал",13 г,"3,8 г","5,2 г"
Суп молочный с крупой,"68,2 кКал","8,7 г","2,6 г","2,8 г"
"Суп молочный с макаронами, по 1-172",58 кКал,"7,9 г","2,2 г","1,9 г"
Суп молочный с макаронными изделиями,"64,6 кКал","7,7 г","2,8 г","2,7 г"
Суп молочный с овощами,"84,9 кКал","11,2 г","4,5 г","2,8 г"
Суп молочный с рисом,"61,9 кКал","7,5 г","2,2 г","2,8 г"
Суп молочный с рисом,81 кКал,10 г,"2,1 г","3,9 г"
"Суп молочный с рисом, по 1-174",54 кКал,"7,3 г","1,8 г","1,9 г"
Суп молочный с тыквой,"50,9 кКал","7,2 г","2,1 г","1,7 г"
"Суп молочный с тыквой и манной крупой, по 1-178",50 кКал,"5,4 г",2 г,"2,2 г"
Суп овощной на отваре шиповника,"67,8 кКал","7,9 г","2,3 г","3,2 г"
Суп перловый с грибами по 1-164,43 кКал,"6,4 г","1,6 г","1,2 г"
Суп пикантный с креветками,"81,9 кКал","5,7 г",9 г,"2,7 г"
Суп полевой,"93,5 кКал","9,2 г","1,5 г","5,9 г"
Суп пшенный с мясом по 1-160,57 кКал,"6,4 г","2,9 г","2,2 г"
Суп рисовый по 1-158,38 кКал,"6,2 г","0,9 г","1,1 г"
Суп с бобовыми (фасоль) по 1-162,54 кКал,"6,9 г",3 г,"1,3 г"
Суп с крупой,"41,5 кКал","5,7 г","0,7 г","1,9 г"
Суп с макаронными изделиями,39 кКал,"4,5 г","0,9 г",2 г
Суп с перловой крупой,0 кКал,0 г,0 г,0 г
Суп с рыбными вареничками,"64,3 кКал","5,3 г","5,2 г","2,6 г"
Суп с рыбными фрикадельками,"28,8 кКал","2,3 г","3,7 г","0,6 г"
Суп с фрикадельками,24 кКал,"2,3 г","1,7 г","0,9 г"
Суп со шпинатом и грибами,"76,8 кКал","0,5 г","1,8 г","7,6 г"
Суп фасолевый,"66,3 кКал","4,2 г","1,7 г","4,8 г"
Суп харчо с мясом по 1-164,75 кКал,"5,5 г","3,1 г","4,5 г"
"Суп холодный ""Таратор""","146,1 кКал","10,7 г","3,9 г",10 г
Суп-крем из тыквы,"92,5 кКал",10 г,"3,4 г","4,6 г"
Суп-лапша домашняя,"47,8 кКал","5,9 г","1,2 г","2,4 г"
Суп-лапша с помидорами по-казачьи,"67,4 кКал",4 г,4 г,"4,1 г"
Суп-пюре из зеленого горошка,"82,7 кКал","10,5 г",4 г,3 г
Суп-пюре из кабачков или тыквы,47 кКал,"4,5 г","1,3 г","2,8 г"
Суп-пюре из картофеля и моркови,"37,7 кКал","2,4 г","0,6 г","2,9 г"
Суп-пюре из картофеля по 1-180,58 кКал,"8,3 г","1,6 г",2 г
Суп-пюре из моркови по 1-182,39 кКал,"4,5 г","1,2 г","1,8 г"
Суп-пюре из печени,"67,9 кКал","4,3 г","3,7 г","4,1 г"
Суп-пюре из птицы,"93,1 кКал","3,5 г","4,8 г","6,8 г"
Суп-пюре из разных овощей,"60,3 кКал",7 г,"2,3 г","2,8 г"
Суп-пюре из рисовой крупы по 1-186,48 кКал,"7,7 г","1,4 г","1,3 г"
Суп-пюре из свежих помидоров,"40,5 кКал","1,4 г","1,8 г","3,1 г"
Суп-пюре из черники,"33,5 кКал","5,5 г","0,3 г","1,3 г"
Суп-пюре из шпината по 1-184,42 кКал,4 г,"1,9 г",2 г
"Суп-салат ""Садовый""","62,8 кКал",4 г,"5,6 г","2,8 г"
Суп-харчо,"43,9 кКал","4,3 г","2,2 г","2,1 г"
Суп-харчо (грузинское национальное блюдо),"87,9 кКал",5 г,"4,8 г","5,5 г"
Сырный суп,"93,4 кКал","3,2 г","4,7 г","6,9 г"
Уха ладожская с кнелями и расстегаями,"85,2 кКал","2,5 г","13,4 г","2,5 г"
Уха ростовская,"70,1 кКал","4,4 г","8,5 г","2,2 г"
Уха рыбацкая,"66,7 кКал","4,3 г","8,5 г","1,9 г"
Уха с перловой крупой,"66,3 кКал","5,4 г","9,3 г",1 г
Уха с расстегаями,"85,3 кКал","4,7 г","10,4 г","2,9 г"
Фасолевый суп,"48,1 кКал","6,6 г","2,3 г","1,6 г"
Харчо,"114,9 кКал","13,6 г",8 г,"3,6 г"
Хирмаса (суп из субпродуктов с лапшой домашней - бурятское национальное блюдо),"85,6 кКал",5 г,"4,3 г","5,5 г"
Холодный борщ с редькой,"32,3 кКал","2,9 г","0,9 г",2 г
Щи боярские,"48,3 кКал","2,9 г","3,5 г","2,6 г"
Щи зеленые с яйцом,"44,9 кКал","2,2 г","1,9 г","3,2 г"
Щи из квашеной капусты,"37,2 кКал",1 г,2 г,"2,8 г"
Щи из квашеной капусты,"28,7 кКал","2,6 г","0,8 г","1,7 г"
Щи из квашеной капусты по 1-132,19 кКал,"1,5 г","0,8 г",1 г
Щи из клевера и щавеля,"116,3 кКал","6,1 г","3,3 г","8,9 г"
Щи из свежей белокочанной капусты,"17,1 кКал","2,2 г","0,5 г","0,8 г"
Щи из свежей капусты,"33,3 кКал","3,4 г",1 г,"1,9 г"
Щи из свежей капусты по 1-130,24 кКал,"2,5 г","0,9 г","1,1 г"
Щи из свежей капусты с картофелем,"41,6 кКал","4,9 г","1,1 г","2,1 г"
Щи из щавеля,"45,3 кКал","2,4 г","2,1 г","3,1 г"
Щи из щавеля по 1-132,48 кКал,"1,8 г","2,3 г","3,5 г"
Щи по-уральски (с крупой),"31,5 кКал","3,2 г","0,8 г","1,8 г"
Щи с ячневой крупой,"47,6 кКал","1,6 г","2,3 г","3,6 г"
Щи суточные,"46,3 кКал","2,8 г","1,7 г","3,2 г"
Щи суточные по 1-134,19 кКал,"1,5 г","0,9 г",1 г
Щи томленые с гречневыми блинами,"56,8 кКал","2,6 г","3,5 г","3,7 г"
Юшка картофельная с кабачками и помидорами,"74,6 кКал",6 г,"3,5 г","4,3 г"
Яблочный суп со сметаной,"50,5 кКал","4,9 г","0,8 г","3,2 г"
