Продукт,Калорийность,Углеводы,Белки,Жиры
"Заправка для салата, французская, без соли, покупная",459 кКал,"15,58 г","0,77 г","44,81 г"
"Заправка для салата, французская, низкокалорийная",227 кКал,27 г,"0,4 г",13 г
"Заправка для салата, французская, обезжиренная",222 кКал,"29,72 г","0,58 г","11,52 г"
"Заправка для салата, французская, обезжиренная, без соли",233 кКал,"28,18 г","0,58 г","13,46 г"
"Заправка для салата, французская, покупная",419 кКал,"16,39 г","0,87 г","39,07 г"
"Заправка для салата, французская, с хлопковым маслом по домашнему рецепту",631 кКал,"3,4 г","0,1 г","70,2 г"
"Зира, семена",375 кКал,"33,74 г","17,81 г","22,27 г"
"Ива, молодые листья, нарубленные, (Аляска)",122 кКал,"20,7 г","6,1 г","1,6 г"
"Иван-чай узколистный, листья, сырой",103 кКал,"8,62 г","4,71 г","2,75 г"
"Имбирь, крень сушеный молотый",335 кКал,"57,52 г","8,98 г","4,24 г"
Кардамон,311 кКал,"40,47 г","10,76 г","6,7 г"
"Карри, порошок",325 кКал,"2,63 г","14,29 г","14,01 г"
"Кервель, сушеный",237 кКал,"37,8 г","23,2 г","3,9 г"
Кетчуп,101 кКал,"27,1 г","1,04 г","0,1 г"
Кетчуп с пониженым содержанием соли,101 кКал,"27,1 г","1,04 г","0,1 г"
"Кориандр (кинза), листья, сушеные",279 кКал,"41,7 г","21,93 г","4,78 г"
"Кориандр, семена",298 кКал,"13,09 г","12,37 г","17,77 г"
"Корица, молотая",247 кКал,"27,49 г","3,99 г","1,24 г"
"Куркума, молотая",312 кКал,"44,44 г","9,68 г","3,25 г"
Лавровый лист,313 кКал,"48,67 г","7,61 г","8,36 г"
"Лемонграсс (цимбопогон), сырой",99 кКал,"25,31 г","1,82 г","0,49 г"
Лимонная кислота,250 кКал,0 г,0 г,0 г
"Лук-шалот, сублимированный",348 кКал,65 г,"12,3 г","0,5 г"
Луковый порошок,341 кКал,"63,92 г","10,41 г","1,04 г"
"Майонез «Провансаль», 67% жирности",629 кКал,"3,7 г","2,8 г",67 г
"Майонез легкий  ""Mayo Light"" компании KRAFT",334 кКал,"8,4 г","0,6 г","32,9 г"
"Майонез легкий, 22% жирности",238 кКал,"9,23 г","0,37 г","22,22 г"
"Майонез на основе соевого масла, без соли",717 кКал,"2,7 г","1,1 г","79,4 г"
Майонез низкокалорийный,263 кКал,"23,9 г","0,9 г",19 г
Майонез с тофу,322 кКал,"1,96 г","5,95 г","31,79 г"
"Майонез столовый молочный, 67% жирности",627 кКал,"3,9 г","2,4 г",67 г
"Майонез, 33% жирности, без холестерина",333 кКал,"6,7 г","0,9 г","33,3 г"
"Майонез, 40% жирности, с оливковым маслом",361 кКал,0 г,"0,37 г",40 г
"Майонез, 78% жирности, без холестерина",688 кКал,"0,3 г",0 г,"77,8 г"
"Майонез, лекгий, SMART BALANCE, Omega Plus light, 34% жира",333 кКал,"9,19 г","1,53 г","34,18 г"
"Майонез, обезжиренный",84 кКал,"13,6 г","0,2 г","2,7 г"
"Майонез, с соевым и сафлоровым маслом и солью",717 кКал,"2,7 г","1,1 г","79,4 г"
"Майонез, с соевым маслом и солью",680 кКал,"0,57 г","0,96 г","74,85 г"
"Майонез, с солью",250 кКал,"14,78 г","0,65 г","21,6 г"
"Майонез,19% жирности, безсолевой, низкокалорийный или диетический",231 кКал,16 г,"0,3 г","19,2 г"
"Майоран, сушеный",271 кКал,"20,26 г","12,66 г","7,04 г"
Маннит,376 кКал,"98,9 г",0 г,0 г
Маринад овощной без томата по 2-106,134 кКал,"10,5 г","1,2 г","9,1 г"
"Мускатный орех, молотый",525 кКал,"28,49 г","5,84 г","36,31 г"
"Мускатный цвет, молотый",475 кКал,"30,3 г","6,71 г","32,38 г"
"Мята колосистая, свежая",44 кКал,"1,61 г","3,29 г","0,73 г"
"Мята колосистая, сушеная",285 кКал,"22,24 г","19,93 г","6,03 г"
"Мята перечная, свежая",70 кКал,"6,89 г","3,75 г","0,94 г"
"Орегано, сушеный",265 кКал,"26,42 г",9 г,"4,28 г"
"Пажитник, семена",323 кКал,"33,75 г",23 г,"6,41 г"
"Паприка, перец сладкий молотый",282 кКал,"19,09 г","14,14 г","12,89 г"
Паста для сэндвичей с порезанными маринованными огурцами на масляной основе,389 кКал,22 г,"0,9 г",34 г
Перец белый,296 кКал,"42,41 г","10,4 г","2,12 г"
"Перец душистый, молотый",263 кКал,"50,52 г","6,09 г","8,69 г"
Перец красный молотый острый,318 кКал,"29,43 г","12,01 г","17,27 г"
"Перец черный,  молотый или горошек",251 кКал,"38,65 г","10,39 г","3,26 г"
Петрушка сушеная,292 кКал,"23,94 г","26,63 г","5,48 г"
Пищевая сода,0 кКал,0 г,0 г,0 г
Приправа для птицы,307 кКал,"54,29 г","9,59 г","7,53 г"
Приправа для тыквенного пирога,342 кКал,"54,48 г","5,76 г","12,6 г"
Рассол соли,0 кКал,0 г,0 г,0 г
"Розмарин, свежий",131 кКал,"6,6 г","3,31 г","5,86 г"
"Розмарин, сушеный",331 кКал,"21,46 г","4,88 г","15,22 г"
Сельдерей корень сушеный,191 кКал,"36,6 г","7,8 г",2 г
"Сельдерей, семя",392 кКал,"29,55 г","18,07 г","25,27 г"
"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная",160 кКал,7 г,"1,5 г",14 г
"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, без холестерина",140 кКал,16 г,1 г,8 г
"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, обезжиренная",107 кКал,20 г,"1,4 г","2,7 г"
Соевый соус,53 кКал,"4,13 г","8,14 г","0,57 г"
"Соевый соус, из гидролизованного овощного белка",60 кКал,"7,34 г",7 г,"0,51 г"
"Соевый соус, из гидролизованного овощного белка, с пониженным содержанием нартия",90 кКал,"14,14 г","8,19 г","0,31 г"
"Соевый соус, с пониженным содержанием нартия",57 кКал,"4,89 г","9,05 г","0,3 г"
"Соевый соус, тамари (только из сои, без пшеничной муки)",60 кКал,"4,77 г","10,51 г","0,1 г"
Соль поваренная пищевая,0 кКал,0 г,0 г,0 г
Соль столовая,0 кКал,0 г,0 г,0 г
Соус белый основной по 2-82,56 кКал,"3,8 г",1 г,"4,1 г"
Соус грибной по 2-96,82 кКал,"4,8 г","1,2 г","6,2 г"
Соус кисло-сладкий,15 кКал,"3,7 г","0,1 г",0 г
Соус клюквенный по 2-112,51 кКал,"12,6 г",0 г,0 г
Соус красный основной по 2-74,48 кКал,"6,2 г","1,1 г",2 г
Соус луковый по 2-76,75 кКал,"6,1 г","1,3 г","4,8 г"
Соус майонез со сметаной по 2-102,312 кКал,"3,3 г","2,8 г","31,9 г"
"Соус маковый, кремовый",399 кКал,"23,43 г","0,92 г","33,33 г"
Соус медово-горчичный,464 кКал,"22,93 г","0,87 г","40,83 г"
Соус медово-горчичный обезжиренный,169 кКал,"37,23 г","1,07 г","1,47 г"
Соус молочный по 2-92,84 кКал,"7,1 г",2 г,"5,2 г"
"Соус песто, готовый к употреблению, длительного хранения",426 кКал,"4,44 г",5 г,"42,42 г"
"Соус песто, готовый к употреблению, охлажденный",418 кКал,"8,29 г","9,83 г","37,6 г"
Соус польский по 2-98,78 кКал,3 г,"2,6 г","6,1 г"
Соус с хреном по 2-104,27 кКал,"4,2 г","0,7 г","0,1 г"
Соус сметанный по 2-94,78 кКал,"5,7 г","1,9 г","5,2 г"
Соус Табаско с остым перцем,12 кКал,"0,2 г","1,29 г","0,76 г"
Соус томатный острый,99 кКал,"21,2 г","2,5 г",0 г
Соус томатный по 2-84,80 кКал,"7,8 г","1,7 г","4,5 г"
Соус черносмородиновый по 2-110,275 кКал,"67,6 г","0,3 г","0,1 г"
Соус чили шрирача,93 кКал,"16,96 г","1,93 г","0,93 г"
"Тимьян, свежий",101 кКал,"10,45 г","5,56 г","1,68 г"
"Тимьян, сушеный",276 кКал,"26,94 г","9,11 г","7,43 г"
"Тмин, семена",333 кКал,"11,9 г","19,77 г","14,59 г"
"Укроп, семена",305 кКал,"34,07 г","15,98 г","14,54 г"
"Укроп, сушеный",253 кКал,"42,22 г","19,96 г","4,36 г"
Уксус бальзамический,88 кКал,"17,03 г","0,49 г",0 г
Уксус винный 3%,9 кКал,0 г,0 г,0 г
"Уксус винный, красный",19 кКал,"0,27 г","0,04 г",0 г
Уксус спиртовой,18 кКал,"0,04 г",0 г,0 г
Уксус столовый 9%,32 кКал,0 г,0 г,0 г
Уксус яблочный,21 кКал,"0,93 г",0 г,0 г
"Фенхель, семена",345 кКал,"12,49 г","15,8 г","14,87 г"
"Хрен, корень",59 кКал,"10,5 г","3,2 г","0,4 г"
"Хрен, соус приготовленный",48 кКал,"7,99 г","1,18 г","0,69 г"
"Чабер, молотый",272 кКал,"23,03 г","6,73 г","5,91 г"
"Чеснок, порошок",331 кКал,"63,73 г","16,55 г","0,73 г"
"Чили, порошок",282 кКал,"14,9 г","13,46 г","14,28 г"
"Шалфей, молотый",315 кКал,"20,43 г","10,63 г","12,75 г"
Шафран,310 кКал,"61,47 г","11,43 г","5,85 г"
"Эстрагон (тархун), зелень свежая","24,8 кКал",5 г,"1,5 г","0,008 г"
"Эстрагон, сушеный",295 кКал,"42,82 г","22,77 г","7,24 г"
