Продукт,Калорийность,Углеводы,Белки,Жиры
Камбала обжаренная в масле. Консервы,254 кКал,0 г,"14,4 г","21,8 г"
Камбала полярная,86 кКал,0 г,"16,4 г","2,3 г"
Камбала речная горячего копчения,192 кКал,0 г,22 г,"11,6 г"
Камбала черноморская,"84,5 кКал",0 г,"18,2 г","1,3 г"
Камбала-ерш,86 кКал,0 г,"15,5 г","2,7 г"
"Каракатица, все виды, приготовленная на пару",158 кКал,"1,64 г","32,48 г","1,4 г"
"Каракатица, все виды, сырая",79 кКал,"0,82 г","16,24 г","0,7 г"
Карась,87 кКал,0 г,"17,7 г","1,8 г"
Карась морской,91 кКал,0 г,"20,4 г","1,4 г"
"Карась морской, приготовленный на жару",126 кКал,0 г,"26,02 г","1,63 г"
"Карась морской, сырой",108 кКал,0 г,"20,21 г","2,41 г"
Карп,112 кКал,0 г,16 г,"5,3 г"
"Карп жареный, по 1-364",181 кКал,"3,2 г","18,5 г","10,5 г"
"Карп, сырой",127 кКал,0 г,"17,83 г","5,6 г"
"Карп, сырой, приготовленный на жару",162 кКал,0 г,"22,86 г","7,17 г"
"Кафельник, приготовленный на жару",147 кКал,0 г,"24,49 г","4,69 г"
"Кафельник, сырой",96 кКал,0 г,"17,5 г","2,31 г"
Кета,127 кКал,0 г,19 г,"5,6 г"
"Кета в томатном соусе, консервы",168 кКал,"4,1 г","19,7 г","8,2 г"
"Кета натуральная, консервы",129 кКал,0 г,"21,5 г","4,8 г"
Кета соленая,184 кКал,0 г,"24,3 г","9,6 г"
"Кета, консервированная без соли, сухой продукт без маринада с костями",141 кКал,0 г,"21,43 г","5,5 г"
"Кета, приготовленная на жару",154 кКал,0 г,"25,82 г","4,83 г"
"Кета, сухой продукт без маринада с костями",141 кКал,0 г,"21,43 г","5,5 г"
"Кета, сушеная, (Аляска)",378 кКал,0 г,"62,09 г","14,38 г"
"Кета, сырая",120 кКал,0 г,"20,14 г","3,77 г"
"Кета, сырая, (Аляска)",116 кКал,0 г,"20,69 г","3,67 г"
Кефаль холодного копчения,199 кКал,0 г,"23,8 г","11,5 г"
Кижуч,140 кКал,0 г,"21,6 г",6 г
"Кижуч (серебряный лосось), сырой, (Аляска)",140 кКал,0 г,"22,56 г","5,57 г"
Кижуч консервированный,140 кКал,0 г,"17,9 г","7,4 г"
"Кижуч, дикий, приготовленный на жару",139 кКал,0 г,"23,45 г","4,3 г"
"Кижуч, дикий, приготовленный на пару",184 кКал,0 г,"27,36 г","7,5 г"
"Кижуч, дикий, сырой",146 кКал,0 г,"21,62 г","5,93 г"
"Кижуч, разведенный на ферме, приготовленный на жару",178 кКал,0 г,"24,3 г","8,23 г"
"Кижуч, разведенный на ферме, сырой",160 кКал,0 г,"21,27 г","7,67 г"
Килька балтийская,137 кКал,0 г,"14,1 г",9 г
Килька балтийская горячего копчения,162 кКал,0 г,"21,3 г","8,5 г"
Килька балтийская соленая,137 кКал,0 г,"17,1 г","7,6 г"
Килька каспийская,192 кКал,0 г,"18,5 г","13,1 г"
"Килька соленая с картофелем и маслом, по 1-100",192 кКал,"9,2 г","11,3 г","12,2 г"
"Килька соленая с луком и маслом, по 1-98",169 кКал,"1,1 г",10 г,"13,8 г"
Китовое мясо,119 кКал,0 г,"22,5 г","3,2 г"
"Китовые, белуга, мясо сушеное (Аляска)",327 кКал,0 г,"69,86 г","5,34 г"
"Китовые, белуга, мясо сырое (Аляска)",111 кКал,0 г,"26,5 г","0,5 г"
"Китовые, белуга, плавник сырой (Аляска)",271 кКал,0 г,19 г,"21,7 г"
Клыкач,203 кКал,0 г,"14,4 г","16,1 г"
"Корифена, приготовленная на жару",109 кКал,0 г,"23,72 г","0,9 г"
"Корифена, сырая",85 кКал,0 г,"18,5 г","0,7 г"
"Корюшка зубастая, азиатская",102 кКал,0 г,"15,4 г","4,5 г"
"Корюшка, сушеная, (Аляска)",386 кКал,0 г,"56,19 г","17,9 г"
"Котлеты из трески, по 1-380",164 кКал,15 г,"12,6 г","5,9 г"
"Краб дандженесский, приготовленный на пару",110 кКал,"0,95 г","22,32 г","1,24 г"
"Краб дандженесский, сырой",86 кКал,"0,74 г","17,41 г","0,97 г"
Краб камчатский (мясо),82 кКал,0 г,"18,2 г",1 г
"Краб камчатский, приготовленный на пару",97 кКал,0 г,"19,35 г","1,54 г"
"Краб камчатский, сырой",84 кКал,0 г,"18,29 г","0,6 г"
"Краб синий, консервированный",83 кКал,0 г,"17,88 г","0,74 г"
"Краб синий, крабовые пироженные",155 кКал,"0,48 г","20,21 г","7,52 г"
"Краб синий, приготовленный на пару",83 кКал,0 г,"17,88 г","0,74 г"
"Краб синий, сырой",87 кКал,"0,04 г","18,06 г","1,08 г"
"Краб-стригун, приготовленный на пару",115 кКал,0 г,"23,72 г","1,51 г"
"Краб-стригун, сырой",90 кКал,0 г,"18,5 г","1,18 г"
"Крабовое мясо из сурими (искуственное), крабовые палочки",95 кКал,"14,5 г","7,62 г","0,46 г"
Крабы консервированные,85 кКал,0 г,"18,7 г","1,1 г"
Красноглазка,126 кКал,0 г,"21,9 г","4,2 г"
Красноперка дальневосточная,100 кКал,0 г,"18,3 г",3 г
Креветка антарктическая (мясо) варено-мороженая,98 кКал,"0,3 г","20,5 г","1,6 г"
Креветка антарктическая натуральная. Консервы,82 кКал,"0,3 г","17,7 г","1,1 г"
Креветка дальневосточная (мясо),87 кКал,"0,8 г","18,3 г","1,2 г"
"Креветка дальневосточныя натуральная, консервы",134 кКал,"2,2 г","28,7 г","1,2 г"
Креветка приготовленная,99 кКал,"0,2 г","23,98 г","0,28 г"
Креветка сырая,85 кКал,0 г,"20,1 г","0,51 г"
"Креветка, все виды, консервированная",100 кКал,0 г,"20,42 г","1,36 г"
"Креветка, все виды, обжаренная в панировке",242 кКал,"11,07 г","21,39 г","12,28 г"
"Креветка, все виды, приготовленная на пару",119 кКал,"1,52 г","22,78 г","1,7 г"
"Креветка, все виды, сырая",71 кКал,"0,91 г","13,61 г","1,01 г"
Креветочное мясо из сурими (искусственное),101 кКал,"9,13 г","12,39 г","1,47 г"
Кубера,96 кКал,0 г,"20,3 г","1,6 г"
"Кумжа, все виды, приготовленная на жару",133 кКал,0 г,"21,46 г","4,63 г"
"Кумжа, все виды, сырая",104 кКал,0 г,"16,74 г","3,61 г"
Курок,71 кКал,0 г,"15,8 г","0,9 г"
Лангуст (мясо шеек),77 кКал,"2,43 г","18,4 г","0,4 г"
"Лангуст, все виды, приготовленный на пару",143 кКал,"3,12 г","26,41 г","1,94 г"
"Лангуст, все виды, сырой",112 кКал,"2,43 г","20,6 г","1,51 г"
Ледяная рыба,91 кКал,0 г,"17,7 г","2,2 г"
Лемонема,67 кКал,0 г,"15,9 г","0,4 г"
Летрин,84 кКал,0 г,"20,2 г","0,4 г"
Лещ,105 кКал,0 г,"17,1 г","4,4 г"
Лещ в томатном соусе. Консервы,124 кКал,4 г,"15,3 г","5,1 г"
Лещ вяленый,221 кКал,0 г,42 г,"5,9 г"
Лещ горячего копчения,172 кКал,0 г,"32,8 г","4,5 г"
Лещ каспийский соленый,144 кКал,0 г,"25,2 г","4,8 г"
Лещ морской,105 кКал,0 г,"18,88 г","2,73 г"
Лещ морской,143 кКал,0 г,"21,3 г","6,4 г"
"Лещ морской, приготовленный на жару",135 кКал,0 г,"24,21 г","3,5 г"
Лещ холодного копчения,160 кКал,0 г,"29,7 г","4,6 г"
Лихия,105 кКал,0 г,"21,1 г","2,3 г"
Лосось атлантический (семга),153 кКал,0 г,20 г,"8,1 г"
"Лосось атлантический (семга), дикий",142 кКал,0 г,"19,84 г","6,34 г"
"Лосось атлантический (семга), дикий, приготовленный на жару",182 кКал,0 г,"25,44 г","8,13 г"
"Лосось атлантический, разведенный на ферме, приготовленный на жару",206 кКал,0 г,"22,1 г","12,35 г"
"Лосось атлантический, разведенный на ферме, сырой",208 кКал,0 г,"20,42 г","13,42 г"
Лосось каспийский соленый,269 кКал,0 г,21 г,"20,5 г"
Лунник,151 кКал,0 г,"14,6 г","10,3 г"
Луфарь океанический,109 кКал,0 г,"19,7 г","3,4 г"
"Луфарь, приготовленный на жару",159 кКал,0 г,"25,69 г","5,44 г"
"Луфарь, сырой",124 кКал,0 г,"20,04 г","4,24 г"
Луциан,86 кКал,0 г,"19,8 г","0,8 г"
Луциан желтохвостый,107 кКал,0 г,"22,6 г","1,8 г"
"Лягушачьи лапки, сырые",73 кКал,0 г,"16,4 г","0,3 г"
Мавроликус,173 кКал,0 г,14 г,13 г
Макрель,113 кКал,0 г,"20,7 г","3,4 г"
"Макрель испанская, приготовленная на жару",158 кКал,0 г,"23,59 г","6,32 г"
"Макрель испанская, сырая",139 кКал,0 г,"19,29 г","6,3 г"
"Макрель королевская, приготовленная на жару",134 кКал,0 г,26 г,"2,56 г"
"Макрель королевская, сырая",105 кКал,0 г,"20,28 г",2 г
Макрурус малоглазый,32 кКал,0 г,"7,1 г","0,4 г"
Макрурус тупорылый,68 кКал,0 г,"13,3 г","1,6 г"
Маринка,112 кКал,0 г,"16,8 г",5 г
"Масло, белужье, китовое (Аляска)",900 кКал,0 г,0 г,100 г
"Масло, китовое, гренландский или полярный кит (Аляска)",900 кКал,0 г,0 г,100 г
"Масло, моржовое (Аляска)",900 кКал,0 г,0 г,100 г
Масляная рыба,113 кКал,0 г,"18,8 г","4,2 г"
"Масляная рыба, приготовленная на жару",187 кКал,0 г,"22,15 г","10,28 г"
"Масляная рыба, сырая",146 кКал,0 г,"17,28 г","8,02 г"
"Медуза, сушеная с солью",36 кКал,0 г,"5,5 г","1,4 г"
"Менек, приготовленный на жару",112 кКал,0 г,"24,35 г","0,88 г"
"Менек, сырой",87 кКал,0 г,"18,99 г","0,69 г"
Мероу,104 кКал,0 г,"19,4 г","2,9 г"
Мидии,77 кКал,"3,3 г","11,5 г",2 г
Мидия cockles (Аляска),79 кКал,"4,7 г","13,5 г","0,7 г"
"Мидия голубая, приготовленная на пару",172 кКал,"7,39 г","23,8 г","4,48 г"
"Мидия голубая, сырая",86 кКал,"3,69 г","11,9 г","2,24 г"
Минога каспийская,326 кКал,0 г,"13,2 г","30,3 г"
"Минога речная, весенняя",119 кКал,0 г,"13,5 г","7,2 г"
"Минога речная, осенняя",213 кКал,0 г,"15,9 г","16,6 г"
Минтай,72 кКал,0 г,"15,9 г","0,9 г"
"Минтай припущенный, по 1-354",75 кКал,0 г,"16,2 г","1,1 г"
"Минтай, Аляска",76 кКал,0 г,"17,17 г","0,82 г"
"Минтай, Аляска, приготовленный",86 кКал,0 г,"19,42 г","0,99 г"
"Минтай, приготовленный на жару",111 кКал,0 г,"23,48 г","1,18 г"
"Минтай, сырой",56 кКал,0 г,"12,19 г","0,41 г"
Мойва весенняя,116 кКал,0 г,"13,1 г","7,1 г"
Мойва осенняя,217 кКал,0 г,"13,6 г","18,1 г"
"Моллюск брюхоногий, печеный или жареный на открытом огне",130 кКал,"1,7 г","26,3 г","1,2 г"
Моллюск двустворчатый,86 кКал,"3,57 г","14,67 г","0,96 г"
"Моллюск двустворчатый, консервированный, с маринадом",2 кКал,"0,1 г","0,4 г","0,02 г"
"Моллюск двустворчатый, консервированный, сухой продукт без маринада",142 кКал,"5,9 г","24,25 г","1,59 г"
"Моллюск двустворчатый, обжаренный в панировке",202 кКал,"10,33 г","14,24 г","11,15 г"
"Моллюск двустворчатый, приготовленный на пару",148 кКал,"5,13 г","25,55 г","1,95 г"
Моллюск рапана,77 кКал,0 г,"16,7 г","1,1 г"
"Молоки рыб, все виды",143 кКал,"1,5 г","22,32 г","6,42 г"
"Молоки рыб, все виды, приготовленные на жару",204 кКал,"1,92 г","28,62 г","8,23 г"
"Морж, мясо и подкожный жир, сырые, (Аляска)",282 кКал,0 г,"16,3 г","24,1 г"
"Морж, мясо, сушеное, (Аляска)",251 кКал,0 г,57 г,"2,6 г"
"Морж, мясо, сырое, (Аляска)",199 кКал,0 г,"19,2 г","13,6 г"
Морская капуста (ламинария) свежая,"24,9 кКал",3 г,"0,9 г","0,2 г"
Морская капуста (ламинария) сушеная,189 кКал,"22,6 г","7,1 г","1,6 г"
"Морские водоросли агар, сушеные",306 кКал,"73,18 г","6,21 г","0,3 г"
"Морские водоросли агар, сырые",26 кКал,"6,25 г","0,54 г","0,03 г"
"Морские водоросли вакаме, сырые",45 кКал,"8,64 г","3,03 г","0,64 г"
"Морские водоросли ирландский мох, сырой",49 кКал,"10,99 г","1,51 г","0,16 г"
"Морские водоросли канадские культивируемые emi-tsunomata, сушеные",259 кКал,"9,54 г","15,34 г","1,39 г"
"Морские водоросли канадские культивируемые emi-tsunomata, сырые",31 кКал,"1,12 г","1,86 г","0,17 г"
"Морские водоросли порфира, сырые",35 кКал,"4,81 г","5,81 г","0,28 г"
"Морские водоросли спирулина, сушеные",290 кКал,"20,3 г","57,47 г","7,72 г"
"Морские водоросли спирулина, сырые",26 кКал,"2,02 г","5,92 г","0,39 г"
"Морские водоросли, ламинариевые, сырые",43 кКал,"8,27 г","1,68 г","0,56 г"
"Морской черт, мясо, (Аляска)",97 кКал,0 г,"11,7 г","5,3 г"
"Морской черт, приготовленный на жару",97 кКал,0 г,"18,56 г","1,95 г"
"Морской черт, сырой",76 кКал,0 г,"14,48 г","1,52 г"
Муксун,121 кКал,0 г,"18,5 г","5,2 г"
"Муксун в томатном соусе, консервы",119 кКал,5 г,"13,4 г","5,2 г"
Мясо ластоногих,113 кКал,0 г,"24,5 г","1,7 г"
Навага беломорская,91 кКал,0 г,"19,2 г","1,6 г"
Навага дальневосточная,69 кКал,0 г,"15,1 г","0,9 г"
"Навага жареная, по 1-368",169 кКал,"4,8 г","18,3 г","8,3 г"
"Наггетсы из лосося, панированные, замороженные, разогретые",212 кКал,"13,96 г","12,69 г","11,72 г"
Налим,81 кКал,0 г,"18,8 г","0,6 г"
"Налим в томатном соусе, консервы",106 кКал,"5,3 г","14,2 г","3,3 г"
"Налим-ошибень, приготовленный на жару",111 кКал,0 г,"24,35 г","0,82 г"
"Налим-ошибень, сырой",87 кКал,0 г,"18,99 г","0,64 г"
"Налим, приготовленный на жару",115 кКал,0 г,"24,76 г","1,04 г"
"Налим, сырой",90 кКал,0 г,"19,31 г","0,81 г"
Нельма,160 кКал,0 г,"19,4 г","9,2 г"
"Нельма (белорыбица), сырая, (Аляска)",115 кКал,0 г,"22,25 г","2,84 г"
Нерка,157 кКал,0 г,"20,3 г","8,4 г"
Нерка,131 кКал,0 г,"22,25 г","4,69 г"
Нерка (Аляска),153 кКал,0 г,"21,94 г","7,28 г"
Нерка натуральная. Консервы,171 кКал,0 г,"19,1 г","10,5 г"
"Нерка, горячего копчения (Аляска)",141 кКал,0 г,"24,5 г","4,75 г"
"Нерка, консервированная без костей, (Аляска)",161 кКал,0 г,"27,31 г","5,76 г"
"Нерка, консервированная без соли",153 кКал,0 г,"20,47 г","7,31 г"
"Нерка, консервированная, всё содержимое",153 кКал,0 г,"20,63 г","7,17 г"
"Нерка, консервированная, с костями, содержимое без жидкости",167 кКал,0 г,"23,59 г","7,39 г"
"Нерка, консервированная, содержимое без жидкости, без кожи и костей",158 кКал,0 г,"26,33 г","5,87 г"
"Нерка, консервированная, холодного копчения, (Аляска)",206 кКал,0 г,"35,19 г","7,26 г"
"Нерка, красный лосось, филе с кожей, холодного копчения (Аляска)",345 кКал,0 г,"60,62 г","11,43 г"
"Нерка, приготовленная на жару",156 кКал,0 г,"26,48 г","5,57 г"
Нотоскопелюс кроуэри,220 кКал,0 г,"15,5 г","17,5 г"
Нототения мраморная,148 кКал,0 г,"15,7 г","9,5 г"
Окунь горячего копчения,166 кКал,0 г,"23,5 г",8 г
"Окунь жареный, по 1-336",180 кКал,4 г,"20,6 г","9,1 г"
"Окунь запеченный, по 1-374",103 кКал,"8,4 г","6,8 г","4,7 г"
Окунь морской (сибас),103 кКал,0 г,"18,2 г","3,3 г"
"Окунь морской (сибас) отварной, по 1-338",112 кКал,0 г,"19,9 г","3,6 г"
"Окунь морской (сибас) тушеный, по 1-364",120 кКал,"4,2 г","10,9 г","6,6 г"
"Окунь морской атлантический (золотистый, обыкновенный)",79 кКал,0 г,"15,31 г","1,54 г"
"Окунь морской атлантический (золотистый, обыкновенный), приготовленный на жару",96 кКал,0 г,"18,51 г","1,87 г"
Окунь морской холодного копчения,199 кКал,0 г,"26,4 г","10,4 г"
"Окунь морской, все виды",97 кКал,0 г,"18,43 г",2 г
"Окунь морской, приготовленный на жару",124 кКал,0 г,"23,63 г","2,56 г"
"Окунь морской, тихоокеанский клювач",90 кКал,0 г,"18,36 г","1,34 г"
"Окунь морской, тихоокеанский клювач, приготовленный на жару",109 кКал,0 г,"22,23 г","1,62 г"
"Окунь полосатый (полосатый басс, или полосатый лаврак), приготовленный на жару",124 кКал,0 г,"22,73 г","2,99 г"
"Окунь полосатый (полосатый басс, или полосатый лаврак), сырой",97 кКал,0 г,"17,73 г","2,33 г"
"Окунь пресноводный, все виды, приготовленный на жару",146 кКал,0 г,"24,18 г","4,73 г"
"Окунь пресноводный, все виды, сырой",114 кКал,0 г,"18,86 г","3,69 г"
"Окунь припущенный, по 1-348",109 кКал,0 г,"19,5 г","3,5 г"
Окунь речной,91 кКал,0 г,"19,39 г","0,92 г"
Окунь речной,82 кКал,0 г,"18,5 г","0,9 г"
"Окунь речной, приготовленный на жару",117 кКал,0 г,"24,86 г","1,18 г"
"Окунь фаршированный, по 1-360",130 кКал,"3,9 г","14,9 г","6,1 г"
"Омар северный, приготовленный на пару",89 кКал,0 г,19 г,"0,86 г"
"Омар северный, сырой",77 кКал,0 г,"16,52 г","0,75 г"
Омуль,152 кКал,0 г,"19,2 г","8,3 г"
Осетр в томатном соусе. Консервы,164 кКал,"3,3 г","14,4 г","11,8 г"
"Осетр жареный во фритюре, по 1-372",273 кКал,"13,2 г",16 г,"17,4 г"
Осетр каспийский и азово-черноморский,164 кКал,0 г,"16,4 г","10,9 г"
Осетр консервированный,163 кКал,0 г,"16,4 г","10,6 г"
"Осетр отварной, по 1-344",179 кКал,0 г,"17,7 г",12 г
"Осетр припущенный, по 1-350",179 кКал,0 г,"17,8 г","11,9 г"
"Осетр холодного копчения, теша ",302 кКал,0 г,"17,6 г","25,7 г"
"Осетр, все виды, копченый",173 кКал,0 г,"31,2 г","4,4 г"
"Осетр, все виды, приготовленный на жару",135 кКал,0 г,"20,7 г","5,18 г"
"Осетр, все виды, сырой",105 кКал,0 г,"16,14 г","4,04 г"
"Осетр, сибирский",202 кКал,0 г,"15,8 г","15,4 г"
"Осьминог обыкновенный, приготовленный на пару",164 кКал,"4,4 г","29,82 г","2,08 г"
"Осьминог обыкновенный, сырой",82 кКал,"2,2 г","14,91 г","1,04 г"
Ошибень,72 кКал,0 г,"16,7 г","0,6 г"
Пагрус,106 кКал,0 г,"19,8 г",3 г
Палтус (Аляска),116 кКал,"1,81 г","20,53 г","2,92 г"
Палтус белокорый,103 кКал,0 г,"18,9 г",3 г
Палтус черный,196 кКал,0 г,"12,8 г","16,1 г"
"Палтус, атлантический и тихоокеанский, приготовленный на жару",111 кКал,0 г,"22,54 г","1,61 г"
"Палтус, атлантический и тихоокеанский, сырой",91 кКал,0 г,"18,56 г","1,33 г"
"Палтус, приготовленный (Аляска)",113 кКал,0 г,"22,13 г","2,73 г"
"Палтус, черный, приготовленный на жару",239 кКал,0 г,"18,42 г","17,74 г"
"Палтус, черный, сырой",186 кКал,0 г,"14,37 г","13,84 г"
